id;start_date;end_date;language
1;2019-05-31T15:48:10;2019-05-31T08:56:27;FRENCH
2;2019-05-31T17:18:16;2019-05-31T02:24:26;FRENCH
3;2019-05-31T12:50:20;2019-05-31T04:14:20;FRENCH
4;2019-05-31T02:02:11;2019-05-31T09:29:13;FRENCH
5;2019-05-31T11:00:50;2019-05-31T15:44:59;FRENCH
6;2019-05-31T17:17:51;2019-05-31T18:34:47;FRENCH
7;2019-05-31T02:40:11;2019-05-31T15:20:58;FRENCH
8;2019-05-31T00:11:30;2019-05-31T08:11:39;FRENCH
9;2019-05-31T09:59:36;2019-05-31T18:24:14;FRENCH
10;2019-05-31T13:17:45;2019-05-31T10:34:00;FRENCH
